"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","PROLIFIC_PID","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","id","session","researcher","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt","preResp.rt"
"1","white","j",836.873,"space",53.157,"a",1,7.27,0,0,0,0,1,"Welche Taste musst Du drücken, wenn die Ziffer ungerade ist? Drücke diese Taste jetzt.","a",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"2","","",NA,"",NA,"a",1,3.865,0,1,1,3,1,"Welche Taste musst Du drücken, wenn Du eine 7 siehst? Drücke diese Taste jetzt.","a",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"3","","",NA,"",NA,"l",1,3.402,0,2,2,2,1,"Welche Taste musst Du drücken, wenn die Ziffer gerade ist? Drücke diese Taste jetzt.","l",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"4","","",NA,"",NA,"l",1,2.436,0,3,3,1,1,"Welche Taste musst Du drücken, wenn Du eine 4 siehst? Drücke diese Taste jetzt.","l",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"5","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"space",5.191,0,0,0,0,1,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"6","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"space",8.72,0.5,NA,0,"8","[""l""]",1,"[0.63799999999992]",0,0,0,8,1,"Practice","klar","klar","test","valid","l","top","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"7","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"3","[""a""]",1,"[0.7390000000000327]",0,1,1,10,1,"Practice","dick","dick","test","valid","a","top","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"8","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"8","[""l""]",1,"[0.6469999999999345]",0,2,2,4,1,"Practice","bunt","klar","learn","valid","l","bottom","top","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"9","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"3","[""a""]",1,"[0.4980000000000473]",0,3,3,11,1,"Practice","hoch","hoch","test","valid","a","bottom","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"10","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"7","[""l"",""l"",""a""]",0,"[0.5740000000000691,2.116999999999962,2.5650000000000546]",0,4,4,5,1,"Practice","dick","hoch","learn","valid","a","bottom","top","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
