"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt"
"1","white","j",52.62206,"space",38.961585,"l",1,5.214075,0,0,0,2,1,"Welche Taste musst Du drücken, wenn die Ziffer gerade ist? Drücke diese Taste jetzt.","l",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"2","","",NA,"",NA,"a",1,2.625945,0,1,1,0,1,"Welche Taste musst Du drücken, wenn die Ziffer ungerade ist? Drücke diese Taste jetzt.","a",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"3","","",NA,"",NA,"l",1,2.845605,0,2,2,1,1,"Welche Taste musst Du drücken, wenn Du eine 4 siehst? Drücke diese Taste jetzt.","l",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"4","","",NA,"",NA,"a",1,1.22297,0,3,3,3,1,"Welche Taste musst Du drücken, wenn Du eine 7 siehst? Drücke diese Taste jetzt.","a",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"5","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"space",5.119485,0,0,0,0,1,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"6","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"space",6.182545,0.4,"8","[""l""]",1,"[0.6461450000060722]",0,0,0,0,1,"Practice","bunt","klar","learn","valid","l","top","top","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"7","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,"3","[""a""]",1,"[0.4611249999143183]",0,1,1,12,1,"Practice","klar","klar","test","invalid","a","top","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"8","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,"6","[""l""]",1,"[1.0844050000887364]",0,2,2,15,1,"Practice","hoch","hoch","test","invalid","l","bottom","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"9","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,"2","[""a"",""l""]",0,"[0.799059999990277,1.2985650000628084]",0,3,3,2,1,"Practice","klar","bunt","learn","valid","l","top","bottom","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
"10","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1234,25,"male","right","German","2020-10-12_14h21.46.775","OS_Exp2_v2","2020.1.3","Win32",60,"Chrome",1280,720,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,"3","[""a""]",1,"[0.5990400000009686]",0,4,4,13,1,"Practice","bunt","bunt","test","invalid","a","bottom","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA
